Marcy Ave,Flushing Ave
Flushing Ave,Myrtle - Wyckoff Aves
Myrtle - Wyckoff Aves,Middle Village - Metropolitan Ave
Court Sq,Greenpoint Ave
Greenpoint Ave,Metropolitan Ave
Metropolitan Ave,7th Ave (FB)
7th Ave (FB),Church Ave (F)
Jamaica Ctr - Parsons / Archer,Sutphin Blvd - Archer Av
Woodhaven Blvd,Sutphin Blvd - Archer Av
Flushing Ave,Marcy Ave
Marcy Ave,Chambers St (J)
Chambers St (J),Fulton St
8th Ave,6th Ave
6th Ave,Union Sq - 14th St
Union Sq - 14th St,1st Ave
1st Ave,Bedford Ave
Bedford Ave,Lortimer St
Lortimer St,Grand St
Grand St,Myrtle - Wyckoff Aves
Myrtle - Wyckoff Aves,Livonia Ave
Livonia Ave,Canarsie - Rockaway Pkwy
Astoria Blvd,Queensboro Plaza
Queensboro Plaza,57th St
57th St,Times Sq - 42nd St
Times Sq - 42nd St,Herald Sq - 34th St
Herald Sq - 34th St,Union Sq - 14th St
Union Sq - 14th St,Atlantic Av - Barclay's Center
Atlantic Av - Barclay's Center,59th St
59th St,8th Ave
8th Ave,New Utrecht Ave
New Utrecht Ave,Coney Island - Stillwell Av
96th St (Q),86th St (Q)
86th St (Q),72nd St (Q)
72nd St (Q),Lexington Ave - 63rd St
Lexington Ave - 63rd St,57th St
57th St,Times Sq - 42nd St
Times Sq - 42nd St,Herald Sq - 34th St
Herald Sq - 34th St,Union Sq - 14th St
Union Sq - 14th St,DeKalb Ave (B)
DeKalb Ave (B),Atlantic Av - Barclay's Center
Atlantic Av - Barclay's Center,Prospect Park
Prospect Park,Ave H
Ave H,Kings Hwy (B)
Kings Hwy (B),Coney Island - Stillwell Av
Forest Hills - 71st Av,Jackson Hts - Roosevelt Av
Jackson Hts - Roosevelt Av,Queens Plz
Queens Plz,57th St
57th St,Times Sq - 42nd St
Union Sq - 14th St,Cortlandt St
Cortlandt St,Jay St - MetroTech
Jay St - MetroTech,DeKalb Ave (B)
Atlantic Av - Barclay's Center,59th St
59th St,86th St (R)
Grand Central - 42nd St,Times Sq - 42nd St
Park Pl,Franklin Ave
Park Pl,Prospect Park
Rockaway Park - Beach 116 St,Beach 67th St
Beach 67th St,Far Rockaway - Mott Ave
Woodhaven Blvd,Marcy Ave
