138th St - Grand Concourse,125th St (4)
125th St (4),86th St (4)
86th St (4),59th St
59th St,Grand Central - 42nd St
Grand Central - 42nd St,14th St - Union Sq
14th St - Union Sq,Brooklyn Bridge - City Hall
Brooklyn Bridge - City Hall,Fulton St
Fulton St,Wall St (4)
Wall St (4),Bowling Green
Bowling Green,Borough Hall
Borough Hall,Nevins St
Nevins St,Atlantic Av - Barclay's Center
Atlantic Av - Barclay's Center,Franklin Ave Medgars Evers College
Franklin Ave Medgars Evers College,President St - Medgar Evers College
President St - Medgar Evers College,Sterling St
Sterling St,Withrop St
Withrop St,Church Ave (2)
Church Ave (2),Beverly Rd
Beverly Rd,Newkirk Ave - Little Haiti
Newkirk Ave - Little Haiti,Brooklyn College - Flatbush Ave
Pelham Bay Park,Buhre Ave
Buhre Ave,Middletown Rd
Middletown Rd,Westchester Sq - East Tremont Ave
Westchester Sq - East Tremont Ave,Zerega Ave
Zerega Ave,Castle Hill Ave
Castle Hill Ave,Parkchester
Parkchester,St Lawrence Ave
St Lawrence Ave,Morrison Ave - Soundview
Morrison Ave - Soundview,Elder Ave
Elder Ave,Whitlock Ave
Whitlock Ave,Hunts Point Ave
Hunts Point Ave,Longwood Ave
Longwood Ave,E 149th St
E 149th St,E 143rd St - St Mary's St
E 143rd St - St Mary's St,Cypress Ave
Cypress Ave,Brook Ave
Brook Ave,3rd Ave - 138th St
3rd Ave - 138th St,125th St (4)
125th St (4),116th St (4)
116th St (4),110th St
110th St,103rd St (4)
103rd St (4),96th St (4)
96th St (4),86th St (4)
86th St (4),77th St
77th St,68th St Hunter College
68th St Hunter College,59th St
59th St,51st St
51st St,Grand Central - 42nd St
Grand Central - 42nd St,33rd St
33rd St,28th St
28th St,23rd St
23rd St,14th St - Union Sq
14th St - Union Sq,Astor Pl
Astor Pl,Bleecker St
Bleecker St,Spring St (6)
Spring St (6),Canal St (6)
Canal St (6),Brooklyn Bridge - City Hall
34th St - Hudson Yards,Times Sq - 42nd St
Times Sq - 42nd St,5th Ave
5th Ave,Grand Central - 42nd St
Grand Central - 42nd St,Vernon Blvd Jackson Ave
Vernon Blvd Jackson Ave,Hunters Point Ave
Hunters Point Ave,Court Sq (7)
Court Sq (7),Queensboro Plaza
Queensboro Plaza,33rd St - Rawson St
33rd St - Rawson St,40th St - Lowrey St
40th St - Lowrey St,46th St - Bliss St
46th St - Bliss St,52nd St
52nd St,Woodside - 61st St
Woodside - 61st St,69th St
69th St,74th St - Broadway
74th St - Broadway,82nd St - Jackson Hts
82nd St - Jackson Hts,90th St - Elmhurst Ave
90th St - Elmhurst Ave,Junction Blvd
Junction Blvd,103rd St - Corona Plaza
103rd St - Corona Plaza,111th St
111th St,Mets- Willets Point
Mets- Willets Point,Flushing - Main St
Inwood - 207th St,Dyckman St (A)
Dyckman St (A),190th St
190th St,181st St (A)
181st St (A),175th St
175th St,168th St (A) 
168th St (A),145th St (A)
145th St (A),125th St (A)
125th St (A),59th St - Columbus Circle
59th St - Columbus Circle,50th St (c)
50th St (c),42nd St - Port Authority Bus Term
42nd St - Port Authority Bus Term,34th St - Penn Station (A)
34th St - Penn Station (A),14th St (A)
14th St (A),W 4th St - Washington Sq
W 4th St - Washington Sq,Canal St (A)
Canal St (A),Chambers St (A)
Chambers St (A),Fulton St
Fulton St,High St
High St,Jay St - MetroTech
Jay St - MetroTech,Hoyt Schermerhorn
Hoyt Schermerhorn,Nostrand Ave (A)
Nostrand Ave (A),Utica Ave
Utica Ave,Broadway Junction
Broadway Junction,Euclid Ave
Euclid Ave,Grant Ave
Grant Ave,80th St
80th St,88th St
88th St,Rockaway Blvd
Rockaway Blvd,104th St (A)
104th St (A),111th St (A)
111th St (A),Ozone Park - Lefferts Blvd
Rockaway Blvd,Aqueduct North Conduit Ave
Aqueduct North Conduit Ave,Howard Beach - JFK Airport
Aqueduct North Conduit Ave,Aqueduct Racetrack
Aqueduct Racetrack,Rockaway Blvd
Howard Beach - JFK Airport,Broad Channel
Broad Channel,Beach 67th St
Beach 67th St,Beach 60th St
Beach 60th St,Beach 44th St
Beach 44th St,Beach 36th St
Beach 36th St,Beach 25th St
Beach 25th St,Far Rockaway - Mott Ave
Broad Channel,Beach 90th St
Beach 90th St,Beach 98th St
Beach 98th St,Beach 105th St
Beach 105th St,Rockaway Park - Beach 116 St
Beach 67th St,Beach 90th St
Bedford Park Blvd,Kingsbridge Rd (B)
Kingsbridge Rd (B),Fordham Rd (B)
Fordham Rd (B),182-183rd Sts
182-183rd Sts,Tremont Ave
Tremont Ave,174-175th Sts
174-175th Sts,170th St (B)
170th St (B),167th St (B)
167th St (B),161st St - Yankee Stadium
161st St - Yankee Stadium,155th St (B)
155th St (B),145th St (A)
145th St (A),135th St (B)
135th St (B),125th St (A)
125th St (A),116th St (B)
116th St (B),Cathedral Pkwy (110th St) (B)
Cathedral Pkwy (110th St) (B),103rd St (B)
103rd St (B),96th St (B)
96th St (B),86th St (B)
86th St (B),81st St - Museum of Natural History
81st St - Museum of Natural History,72nd St (B)
72nd St (B),59th St - Columbus Circle
59th St - Columbus Circle,7th Ave (BM)
7th Ave (BM),47th-50th Sts - Rockefeller Ctr
47th-50th Sts - Rockefeller Ctr,42nd St Bryant Park
42nd St Bryant Park,Herald Sq - 34th St
Herald Sq - 34th St,W 4th St - Washington Sq
W 4th St - Washington Sq,Broadway - Lafayette St
Broadway - Lafayette St,Grand St
Grand St,DeKalb Ave
DeKalb Ave,Atlantic Av - Barclay's Center
Atlantic Av - Barclay's Center,7th Ave (BB)
7th Ave (BB),Prospect Park
Prospect Park,Church Ave (B)
Church Ave (B),Newkirk Plaza
Newkirk Plaza,Kings Hwy (B)
Kings Hwy (B),Sheepshead Bay
Sheepshead Bay,Brighton Beach
168th St (A),163 St -Amsterdam Ave
163 St -Amsterdam Ave,155th St (c)
155th St (c),145th St (A)
145th St (A),135th St (B)
135th St (B),125th St (A)
125th St (A),116th St (B)
116th St (B),Cathedral Pkwy (110th St) (B)
Cathedral Pkwy (110th St) (B),103rd St (B)
103rd St (B),96th St (B)
96th St (B),86th St (B)
86th St (B),81st St - Museum of Natural History
81st St - Museum of Natural History,72nd St (B)
72nd St (B),59th St - Columbus Circle
59th St - Columbus Circle,50th St (c)
50th St (c),42nd St - Port Authority Bus Term
42nd St - Port Authority Bus Term,23rd St (c)
23rd St (c),34th St - Penn Station (A)
34th St - Penn Station (A),14th St (A)
14th St (A),W 4th St - Washington Sq
W 4th St - Washington Sq,Spring St (c)
Spring St (c),Canal St (A)
Canal St (A),Chambers St (A)
Chambers St (A),Fulton St
Fulton St,High St
High St,Jay St - MetroTech
Jay St - MetroTech,Hoyt Schermerhorn
Hoyt Schermerhorn,Lafayette Ave
Lafayette Ave,Clinton Washington Ave
Clinton Washington Ave,Franklin Ave
Franklin Ave,Nostrand Ave (A)
Nostrand Ave (A),Kingston Throop Avs
Kingston Throop Avs,Utica Ave
Utica Ave,Ralph Ave
Ralph Ave,Rockaway Ave (C)
Rockaway Ave (C),Broadway Junction
Broadway Junction,Liberty Ave
Liberty Ave,Van Siclen Ave (c)
Van Siclen Ave (c),Shepherd Ave
Shepherd Ave,Euclid Ave
Norwood 205th St,Bedford Park Blvd
Bedford Park Blvd,Kingsbridge Rd (B)
Kingsbridge Rd (B),Fordham Rd (B)
Fordham Rd (B),182-183rd Sts
182-183rd Sts,Tremont Ave
Tremont Ave,174-175th Sts
174-175th Sts,170th St (B)
170th St (B),167th St (B)
167th St (B),161st St - Yankee Stadium
161st St - Yankee Stadium,155th St (B)
155th St (B),145th St (A)
145th St (A),59th St - Columbus Circle
59th St - Columbus Circle,7th Ave (BM)
7th Ave (BM),47th-50th Sts - Rockefeller Ctr
47th-50th Sts - Rockefeller Ctr,42nd St Bryant Park
42nd St Bryant Park,Herald Sq - 34th St
Herald Sq - 34th St,W 4th St - Washington Sq
W 4th St - Washington Sq,Broadway - Lafayette St
Broadway - Lafayette St,Grand St
Grand St,Atlantic Av - Barclay's Center
Atlantic Av - Barclay's Center,Union St
Union St,36th St
36th St,9th Ave
9th Ave,Fort Hamilton Pkwy
Fort Hamilton Pkwy,50th St (D)
50th St (D),55th St
55th St,62nd St
62nd St,71st St
71st St,79th St
79th St,18th Ave (D)
18th Ave (D),20th Ave (D)
20th Ave (D),Bay Pkwy (D)
Bay Pkwy (D),25th Ave
25th Ave,Bay 50th St
Bay 50th St,Coney Island - Stillwell Av
World Trade Center,Canal St (A)
Canal St (A),Spring St (c)
Spring St (c),W 4th St - Washington Sq
W 4th St - Washington Sq,14th St (A)
14th St (A),23rd St (c)
23rd St (c),34th St - Penn Station (A)
34th St - Penn Station (A),42nd St - Port Authority Bus Term
42nd St - Port Authority Bus Term,50th St (c)
50th St (c),7th Ave (BM)
7th Ave (BM),5th Ave 53rd St
5th Ave 53rd St,Lexington Ave - 53rd St
Lexington Ave - 53rd St,Court Sq - 23rd St
Court Sq - 23rd St,Queens Plz
Queens Plz,Jackson Hts - Roosevelt Av
Jackson Hts - Roosevelt Av,Forest Hills - 71st Av
Forest Hills - 71st Av,75th Ave
75th Ave,Kew Gardens - Union Tpke
Kew Gardens - Union Tpke,Briarwood
Briarwood,Jamaica - Van Wyck
Jamaica - Van Wyck,Sutphin Blvd - Archer Av
Sutphin Blvd - Archer Av,Jamaica Ctr - Parsons / Archer
Jamaica - 179th St,169th St
169th St,Parsons Blvd
Parsons Blvd,Sutphin Blvd
Sutphin Blvd,Kew Gardens - Union Tpke
Kew Gardens - Union Tpke,75th Ave
75th Ave,Forest Hills - 71st Av
Forest Hills - 71st Av,Jackson Hts - Roosevelt Av
Jackson Hts - Roosevelt Av,21st St - Queensbridge
21st St - Queensbridge,Roosevelt Island - Main St
Roosevelt Island - Main St,Lexington Ave - 63rd St
Lexington Ave - 63rd St,57th St
57th St,47th-50th Sts - Rockefeller Ctr
47th-50th Sts - Rockefeller Ctr,42nd St Bryant Park
42nd St Bryant Park,Herald Sq - 34th St
Herald Sq - 34th St,23rd St (F)
23rd St (F),14th St (F)
14th St (F),W 4th St - Washington Sq
W 4th St - Washington Sq,Broadway - Lafayette St
Broadway - Lafayette St,2nd Ave
2nd Ave,Delancey St Essex St
Delancey St Essex St,East Broadway
East Broadway,York St
York St,Jay St - MetroTech
Jay St - MetroTech,Bergen St
Bergen St,Carroll St
Carroll St,Smith 9th Sts
Smith 9th Sts,4th Ave 9th St
4th Ave 9th St,7th Ave (FB)
7th Ave (FB),15th St Prospect Park
15th St Prospect Park,Fort Hamilton Pkwy
Fort Hamilton Pkwy,Church Ave (F)
Church Ave (F),Ditmas Ave
Ditmas Ave,18th Ave (F)
18th Ave (F),Ave I
Ave I,Bay Pkwy (F)
Bay Pkwy (F),Ave N
Ave N,Ave P
Ave P,Kings Hwy (F)
Kings Hwy (F),Ave U (F)
Ave U (FL),Ave X
Ave X,Neptune Ave
Neptune Ave,West 8th St - NY Aquarium
West 8th St - NY Aquarium,Coney Island - Stillwell Av
Court Sq (7),21st St
21st St,Greenpoint Ave
Greenpoint Ave,Nassau Ave
Nassau Ave,Metropolitan Ave
Metropolitan Ave,Broadway (G)
Broadway (G),Flushing Ave (G)
Flushing Ave (G),Myrtle Willoughby Aves
